epoch,accuracy,learning_rate,loss,precision_1,recall_1,val_accuracy,val_loss,val_precision_1,val_recall_1
0,0.5964722633361816,4.999999873689376e-05,0.9456196427345276,0.6368421316146851,0.5226781964302063,0.7318132519721985,0.7863593697547913,0.7578579783439636,0.7068403959274292
1,0.6483081579208374,4.999999873689376e-05,0.8571555018424988,0.6971954703330994,0.5727142095565796,0.6948968768119812,0.9191040396690369,0.703125,0.6840391159057617
2,0.6969042420387268,4.999999873689376e-05,0.7808743715286255,0.7390180826187134,0.6177105903625488,0.7100977301597595,0.85149747133255,0.7220339179039001,0.6938110589981079
3,0.7030237317085266,4.999999873689376e-05,0.7520273923873901,0.7637969255447388,0.6227501630783081,0.7144408226013184,0.9629364013671875,0.7262569665908813,0.7057546377182007
4,0.7393808364868164,4.999999873689376e-05,0.7248401641845703,0.7934131622314453,0.6677466034889221,0.7187839150428772,0.8999093174934387,0.7260428667068481,0.69923996925354
5,0.745500385761261,9.999999747378752e-06,0.7111355662345886,0.7981180548667908,0.6717062592506409,0.709011971950531,0.885483980178833,0.7219069004058838,0.6905537247657776
6,0.7703383564949036,9.999999747378752e-06,0.685130774974823,0.8178001642227173,0.7012239098548889,0.7079261541366577,0.8816295862197876,0.7204545736312866,0.6883822083473206
7,0.7688984870910645,9.999999747378752e-06,0.6803643107414246,0.8245762586593628,0.700503945350647,0.709011971950531,0.8705446720123291,0.7215909361839294,0.6894679665565491
8,0.7710583209991455,9.999999747378752e-06,0.6760137677192688,0.8186419010162354,0.6987041234970093,0.7122692465782166,0.8602504730224609,0.7250859141349792,0.6872963905334473
9,0.772138237953186,9.999999747378752e-06,0.6732627749443054,0.8165829181671143,0.7019438147544861,0.7198697328567505,0.835090696811676,0.7359356880187988,0.6959826350212097
